date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:54%20GMT	https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.1fc.delayed	(from https://constructionbim.faro.com/mx/ingenieria/)
22:52:58	2336/2336	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:52:55%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fciviltopografia%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed7a67.json	(from https://constructionbim.faro.com/mx/civiltopografia/)
22:52:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:56%20GMT	https://constructionbim.faro.com/?p=768	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexb916.html	(from https://constructionbim.faro.com/mx/civiltopografia/)
22:52:59	0/-1	---M--	301	error ('')			https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.1ff.delayed	(from https://constructionbim.faro.com/mx/civiltopografia/)
22:52:59	2427/2427	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:56%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fciviltopografia%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed798d	(from https://constructionbim.faro.com/mx/civiltopografia/)
22:52:59	2284/2284	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:52:57%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fcontacto%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed3e9a.json	(from https://constructionbim.faro.com/mx/contacto/)
22:52:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:57%20GMT	https://constructionbim.faro.com/?p=447	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index42fe.html	(from https://constructionbim.faro.com/mx/contacto/)
22:53:00	0/-1	---M--	301	error ('')			https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.202.delayed	(from https://constructionbim.faro.com/mx/contacto/)
22:53:00	2378/2378	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:58%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fcontacto%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedff4f	(from https://constructionbim.faro.com/mx/contacto/)
22:53:01	2335/2335	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:52:59%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fpatrimonio-cultural%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedc645.json	(from https://constructionbim.faro.com/mx/patrimonio-cultural/)
22:53:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:59%20GMT	https://constructionbim.faro.com/?p=1802	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexe467.html	(from https://constructionbim.faro.com/mx/patrimonio-cultural/)
